NUM,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2020,MI,FT,"Data Scientist",70000.000,EUR,79833.000,DE,0,DE,L
2,2020,SE,FT,"Machine Learning Scientist",260000.000,USD,260000.000,JP,0,JP,S
3,2020,SE,FT,"Big Data Engineer",85000.000,GBP,109024.000,GB,50,GB,M
4,2020,MI,FT,"Product Data Analyst",20000.000,USD,20000.000,HN,0,HN,S
5,2020,SE,FT,"Machine Learning Engineer",150000.000,USD,150000.000,US,50,US,L
6,2020,EN,FT,"Data Analyst",72000.000,USD,72000.000,US,100,US,L
7,2020,SE,FT,"Lead Data Scientist",190000.000,USD,190000.000,US,100,US,S
8,2020,MI,FT,"Data Scientist",11000000.000,HUF,35735.000,HU,50,HU,L
9,2020,MI,FT,"Business Data Analyst",135000.000,USD,135000.000,US,100,US,L
10,2020,SE,FT,"Lead Data Engineer",125000.000,USD,125000.000,NZ,50,NZ,S
11,2020,EN,FT,"Data Scientist",45000.000,EUR,51321.000,FR,0,FR,S
12,2020,MI,FT,"Data Scientist",3000000.000,INR,40481.000,IN,0,IN,L
13,2020,EN,FT,"Data Scientist",35000.000,EUR,39916.000,FR,0,FR,M
14,2020,MI,FT,"Lead Data Analyst",87000.000,USD,87000.000,US,100,US,L
15,2020,MI,FT,"Data Analyst",85000.000,USD,85000.000,US,100,US,L
16,2020,MI,FT,"Data Analyst",8000.000,USD,8000.000,PK,50,PK,L
17,2020,EN,FT,"Data Engineer",4450000.000,JPY,41689.000,JP,100,JP,S
18,2020,SE,FT,"Big Data Engineer",100000.000,EUR,114047.000,PL,100,GB,S
19,2020,EN,FT,"Data Science Consultant",423000.000,INR,5707.000,IN,50,IN,M
20,2020,MI,FT,"Lead Data Engineer",56000.000,USD,56000.000,PT,100,US,M
21,2020,MI,FT,"Machine Learning Engineer",299000.000,CNY,43331.000,CN,0,CN,M
22,2020,MI,FT,"Product Data Analyst",450000.000,INR,6072.000,IN,100,IN,L
23,2020,SE,FT,"Data Engineer",42000.000,EUR,47899.000,GR,50,GR,L
24,2020,MI,FT,"BI Data Analyst",98000.000,USD,98000.000,US,0,US,M
25,2020,MI,FT,"Lead Data Scientist",115000.000,USD,115000.000,AE,0,AE,L
26,2020,EX,FT,"Director of Data Science",325000.000,USD,325000.000,US,100,US,L
27,2020,EN,FT,"Research Scientist",42000.000,USD,42000.000,NL,50,NL,L
